"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RPS3P3",25.3397981895928,6.96038933077936,2.83769070812464,2.45283579033154,0.0141735024005657,0.245852383001785
"DVL3",1489.8402509291,-0.0311479319381578,0.304864232989017,-0.102169846665089,0.918621861355866,0.997894714965317
"AP2M1",4080.38383872582,-0.387285984840661,0.258236280102881,-1.49973498954666,0.133683063216343,0.634349351927338
"ABCF3",423.621030949617,-0.373145453355928,0.40865740193681,-0.913100929011502,0.361189461791174,0.854327538585286
"VWA5B2",10.1526774395503,3.23987216116282,3.65596468769335,0.886188034602422,0.375516210293151,0.862035076512341
"ALG3",1111.43956759001,-0.0912046169060717,0.269628143971941,-0.338260745197144,0.735166702747392,0.982897754902312
"ECE2",48.7397167655804,0.0600991021665751,1.01245024457356,0.0593600549643689,0.952665328448512,0.99923753558823
"CAMK2N2",3.27912516258461,0.144164634874273,5.53033337114232,0.0260679827416072,0.979203114450846,NA
"PSMD2",4372.92835996974,0.247410015381643,0.320605313196746,0.771696553980108,0.440294172196567,0.891631381633263
"EIF4G1",4229.36542195237,0.0186514108376966,0.343479650444862,0.0543013561750748,0.956695069077951,0.99923753558823
"FAM131A",133.519269161348,0.636405269788107,0.829058808801608,0.767623795841482,0.442710721025295,0.89384874694675
"CLCN2",81.896868633753,-0.926159294613181,0.706979403219028,-1.31002302244758,0.190188047363049,0.721635922884933
"POLR2H",1852.79944150452,-0.206893570766953,0.272531406871083,-0.759154965448884,0.447759862067359,0.897210584531474
"THPO",22.5780964655213,2.11117537297471,3.1415746978299,0.672011833566475,0.501576162872374,0.924689639545846
"CHRD",135.597616899028,0.868121896455227,0.794546370560273,1.09260066954062,0.274569168630783,0.798017691845227
